19537132|H2C 1B3|BF|19500111|H2C|ACTV|LC|LC0006|6595|MONTREAL LCD AHUNTSIC|19601394|H2C 1B3|9404|BP FLEURY|PHARMACIE JEAN COUTU #168|1221 RUE FLEURY E|MONTREAL QC  H2C 1P0|45.56240933|-73.665884
19537132|H2C 1B3|BF|19500111|H2C|ACTV|LC|LC0006|6595|MONTREAL LCD AHUNTSIC|19601394|H2C 1B3|9404|BP FLEURY|PHARMACIE JEAN COUTU #168|1221 RUE FLEURY E|MONTREAL QC  H2C 1P0|45.56194351|-73.66617129
19537132|H2C 1B3|BF|19500111|H2C|ACTV|LC|LC0006|6595|MONTREAL LCD AHUNTSIC|19601394|H2C 1B3|9404|BP FLEURY|PHARMACIE JEAN COUTU #168|1221 RUE FLEURY E|MONTREAL QC  H2C 1P0|45.56039159|-73.66706569
19574634|H2C 1B4|BF|19500111|H2C|ACTV|LC|LC0006|6595|MONTREAL LCD AHUNTSIC|19601394|H2C 1B4|9404|BP FLEURY|PHARMACIE JEAN COUTU #168|1221 RUE FLEURY E|MONTREAL QC  H2C 1P0|45.56142308|-73.66637741
19627790|H2C 1B5|BF|19500111|H2C|ACTV|LC|LC0006|6595|MONTREAL LCD AHUNTSIC|19601394|H2C 1B5|9404|BP FLEURY|PHARMACIE JEAN COUTU #168|1221 RUE FLEURY E|MONTREAL QC  H2C 1P0|45.56238304|-73.66580347
19629214|H2C 1B6|BF|19500111|H2C|ACTV|LC|LC0006|6595|MONTREAL LCD AHUNTSIC|19601394|H2C 1B6|9404|BP FLEURY|PHARMACIE JEAN COUTU #168|1221 RUE FLEURY E|MONTREAL QC  H2C 1P0|45.56288939|-73.66547466
19646191|H2C 1B7|BF|19500111|H2C|ACTV|LC|LC0002|6595|MONTREAL LCD AHUNTSIC|19601394|H2C 1B7|9404|BP FLEURY|PHARMACIE JEAN COUTU #168|1221 RUE FLEURY E|MONTREAL QC  H2C 1P0|45.5637512|-73.66484111
19646191|H2C 1B7|BF|19500111|H2C|ACTV|LC|LC0002|6595|MONTREAL LCD AHUNTSIC|19601394|H2C 1B7|9404|BP FLEURY|PHARMACIE JEAN COUTU #168|1221 RUE FLEURY E|MONTREAL QC  H2C 1P0|45.56363811|-73.66500819
19611218|H2C 1B8|BF|19500111|H2C|ACTV|LC|LC0002|6595|MONTREAL LCD AHUNTSIC|19601394|H2C 1B8|9404|BP FLEURY|PHARMACIE JEAN COUTU #168|1221 RUE FLEURY E|MONTREAL QC  H2C 1P0|45.56435792|-73.66366439
19591740|H2C 1B9|BF|19500111|H2C|ACTV|LC|LC0002|6595|MONTREAL LCD AHUNTSIC|19601394|H2C 1B9|9404|BP FLEURY|PHARMACIE JEAN COUTU #168|1221 RUE FLEURY E|MONTREAL QC  H2C 1P0|45.56476783|-73.66284199
